File Name,Description,DVD menu Path
VTS_01_0.VOB,Main menu introduction,play DVD
VTS_01_1.VOB,Lockhart’s classroom menu,LOCKHEART'S CLASSROOM
VTS_02_0.VOB,EMPTY FILE (zero bytes),
VTS_02_1.VOB,Extra Credit menu,EXTRA CREDIT
VTS_03_0.VOB,EMPTY FILE (zero bytes),
VTS_03_1.VOB,Behind Hogwarts menu,BEHIND HOGWARTS
VTS_04_0.VOB,EMPTY FILE (zero bytes),
VTS_04_1.VOB,Activities menu,ACTIVITIES
VTS_05_0.VOB,EMPTY FILE (zero bytes),
VTS_05_1.VOB,Chamber of Secrets Tour,ACTIVITIES > Chamber Challenge > quickly press ^<^ SELECT to go down secret passage // ACTIVITIES > Chamber Challenge > answer all questions correctly
VTS_06_0.VOB,EMPTY FILE (zero bytes),
VTS_06_1.VOB,Tour of Dumbledoor’s office,
VTS_06_2.VOB,Entrance to Dumbledoor’s office,BEHIND HOGWARTS > Dumbledoor’s Office
VTS_07_0.VOB,EMPTY FILE (zero bytes),
VTS_07_1.VOB,Tour of Diagon Alley,
VTS_08_0.VOB,EMPTY FILE (zero bytes),
VTS_08_1.VOB,Spellcaster Knowledge,SPELLCASTER KNOWLEDGE
VTS_09_0.VOB,EMPTY FILE (zero bytes),
VTS_09_1.VOB,Behind the scenes footage ,
VTS_10_0.VOB,EMPTY FILE (zero bytes),
VTS_10_1.VOB,Cast & Directer interviews,"BEHIND HOGWARTS > Conversation with J.K. Rowling and Steve Kloss // BEHIND HOGWARTS > Interviews with Students, Professors & more"
VTS_10_2.VOB,Cast & Directer interviews continued,
VTS_11_0.VOB,EMPTY FILE (zero bytes),
VTS_11_1.VOB,Fawk’s theme - audio only,mysterious happy ending?
VTS_12_0.VOB,EMPTY FILE (zero bytes),
VTS_12_1.VOB,Transition Music / Dialogue - audio only,used in menus and Colin’s Dark Room
VTS_13_0.VOB,EMPTY FILE (zero bytes),
VTS_13_1.VOB,Chamber Challenge scenes,ACTIVITES > Chamber Challenge
VTS_14_0.VOB,EMPTY FILE (zero bytes),
VTS_14_1.VOB,Forbidden Forest Challenge scenes,ACTIVITIES > Forbidden Forest Challenge
VTS_15_0.VOB,EMPTY FILE (zero bytes),
VTS_15_1.VOB,Colin Creevy’s Dark Room scenes,ACTIIVITIES > Colin’s Dark Room
VTS_16_0.VOB,EMPTY FILE (zero bytes),
VTS_16_1.VOB,EA Game Preview scenes,GAME PREVIEW
VTS_17_0.VOB,EMPTY FILE (zero bytes),
VTS_17_1.VOB,Additional Scenes menu,ADDITIONAL SCENES
VTS_18_0.VOB,EMPTY FILE (zero bytes),
VTS_18_1.VOB,Additional Scenes (20 titles),ADDITIONAL SCENES > select scene
VTS_19_0.VOB,EMPTY FILE (zero bytes),
VTS_19_1.VOB,Extra Credit Preview,EXTRA CREDIT > Preview
VTS_20_0.VOB,EMPTY FILE (zero bytes),
VTS_20_1.VOB,Menu w/ clicking noises,
